TID,RU
string,string
TID_LANGUAGE_TITLE,Выбор языка
TID_SHOP_UNLOCK_TEXT,Открывается на <LEVELX>-м уровне.
TID_ANIMAL_SHOP_DESCRIPTION,<ITEM>: 1 ед. / <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Жилище для <CAPACITY> кур.
TID_COW_HABITAT_SHOP_DESCRIPTION,Жилище для <CAPACITY> коров.
TID_PIG_HABITAT_SHOP_DESCRIPTION,Жилище для <CAPACITY> свиней.
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Жилище для <CAPACITY> овец.
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Жилище для <CAPACITY> коз.
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Растения растут на полях.
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Поля нужны для выращивания растений.
TID_TIME_D_H,<D> д. <H> ч.
TID_TIME_H_M,<H> ч. <M> м.
TID_TIME_H,<H> ч.
TID_TIME_M_S,<M> м. <S> сек.
TID_TIME_M,<M> м.
TID_TIME_S,<S> сек.
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,{size=17}Силосная башня: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,{size=17}Амбар: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Пусто
TID_PRODUCTION_LIST_WAITING,Ожидание...
TID_ANIMAL_HUNGRY,Хочет есть
TID_ANIMAL_READY_TO_HARVEST,Пора собирать
TID_WHEAT,Пшеница
TID_CARROT,Морковь
TID_CORN,Кукуруза
TID_SOY_BEAN,Соя
TID_SUGAR_CANE,Сахарный тростник
TID_PUMPKIN,Тыква
TID_CHILI,Перец чили
TID_INDIGO,Индиго
TID_TOMATO,Помидоры
TID_CHICKEN_FOOD,Корм для кур
TID_COW_FOOD,Корм для коров
TID_SHEEP_FOOD,Корм для овец
TID_PIG_FOOD,Корм для свиней
TID_GOAT_FOOD,Корм для коз
TID_EGG,Яйцо
TID_MILK,Молоко
TID_WOOL,Шерсть
TID_BACON,Бекон
TID_GOAT_MILK,Козье молоко
TID_CREAM,Сливки
TID_BUTTER,Масло
TID_CHEESE,Сыр
TID_GOAT_CHEESE,Козий сыр
TID_BREAD,Хлеб
TID_COOKIE,Печенье
TID_CORN_BREAD,Кукурузный хлеб
TID_CHEESE_CAKE,Чизкейк
TID_CARROT_CAKE,Морковный торт
TID_BIRTHDAY_CAKE,Торт со сливками
TID_CHOCOLATE_CAKE,Шоколадный торт
TID_STRAWBERRY_CAKE,Клубничный торт
TID_CARROT_PIE,Морковный пирог
TID_BACON_PIE,Пирог с беконом
TID_PUMPKIN_PIE,Тыквенный пирог
TID_BROWN_SUGAR,Коричневый сахар
TID_WHITE_SUGAR,Белый сахар
TID_SYRUP,Сироп
TID_SWEATER,Свитер
