TID,VI
string,string
TID_LANGUAGE_TITLE,Lựa chọn ngôn ngữ
TID_SHOP_UNLOCK_TEXT,Mở khóa ở cấp <LEVELX>
TID_ANIMAL_SHOP_DESCRIPTION,Sản xuất <ITEM> trong <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Chỗ ở cho <CAPACITY> con Gà
TID_COW_HABITAT_SHOP_DESCRIPTION,Chỗ ở cho <CAPACITY> con Bò
TID_PIG_HABITAT_SHOP_DESCRIPTION,Chỗ ở cho <CAPACITY> con Heo
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Chỗ ở cho <CAPACITY> con Cừu
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Chỗ ở cho <CAPACITY> con Dê
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Trồng trọt trên các mảnh ruộng
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Các mảnh ruộng được dùng để trồng trọt
TID_TIME_D_H,<D> ng <H> giờ
TID_TIME_H_M,<H> giờ <M> ph
TID_TIME_H,<H> giờ
TID_TIME_M_S,<M> ph <S> gi
TID_TIME_M,<M> ph
TID_TIME_S,<S> gi
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Sức chứa Tháp nông sản: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Sức chứa Kho vật phẩm: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Trống
TID_PRODUCTION_LIST_WAITING,Đang đợi...
TID_ANIMAL_HUNGRY,Đói
TID_ANIMAL_READY_TO_HARVEST,Sẵn sàng thu hoạch
TID_WHEAT,Lúa mỳ
TID_CARROT,Cà rốt
TID_CORN,Ngô
TID_SOY_BEAN,Đậu nành
TID_SUGAR_CANE,Mía
TID_PUMPKIN,Bí ngô
TID_CHILI,Ớt
TID_INDIGO,Chàm
TID_TOMATO,Cà chua
TID_CHICKEN_FOOD,Thức ăn cho gà
TID_COW_FOOD,Thức ăn cho bò
TID_SHEEP_FOOD,Thức ăn cho cừu
TID_PIG_FOOD,Thức ăn cho heo
TID_GOAT_FOOD,Thức ăn cho dê
TID_EGG,Trứng
TID_MILK,Sữa
TID_WOOL,Lông cừu
TID_BACON,Thịt xông khói
TID_GOAT_MILK,Sữa dê
TID_CREAM,Kem
TID_BUTTER,Bơ
TID_CHEESE,Phô mai
TID_GOAT_CHEESE,Phô mai dê
TID_BREAD,Bánh mỳ
TID_COOKIE,Bánh quy
TID_CORN_BREAD,Bánh ngô
TID_CHEESE_CAKE,Bánh phô mai
TID_CARROT_CAKE,Bánh kem cà rốt
TID_BIRTHDAY_CAKE,Bánh kem
TID_CHOCOLATE_CAKE,Bánh kem sô cô la
TID_STRAWBERRY_CAKE,Bánh kem dâu
TID_CARROT_PIE,Bánh cà rốt
TID_BACON_PIE,Bánh thịt xông khói
TID_PUMPKIN_PIE,Bánh bí ngô
TID_BROWN_SUGAR,Đường nâu
TID_WHITE_SUGAR,Đường trắng
TID_SYRUP,Sirô
TID_SWEATER,Áo len
TID_BLUE_WOOLLY_HAT,Mũ len màu xanh
TID_BLUE_SWEATER,Áo len màu xanh
TID_POPCORN,Bỏng ngô
TID_BUTTER_POPCORN,Bắp rang bơ
TID_CHILI_POPCORN,Bỏng ngô cay
TID_BACON_AND_EGGS,Thịt xông khói và trứng rán
TID_PANCAKE,Bánh kếp
TID_HAMBURGER,Hamburger
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Pizza cay
TID_ROASTED_TOMATOES,Cà chua nướng
TID_CARROT_JUICE,Nước ép cà rốt
TID_TOMATO_JUICE,Nước ép cà chua
TID_APPLE_JUICE,Nước ép táo
TID_CHERRY_JUICE,Nước ép anh đào
TID_BERRY_JUICE,Nước ép quả mọng
TID_APPLE,Táo
TID_CHERRY,Anh đào
TID_CACAO,Ca cao
TID_RASPBERRY,Mâm xôi đỏ
TID_BLACKBERRY,Mâm xôi tím
TID_APPLE_JAM,Mứt táo
TID_RASPBERRY_JAM,Mứt mâm xôi đỏ
TID_BLUEBERRY_JAM,Mứt mâm xôi tím
TID_CHERRY_JAM,Mứt anh đào
TID_VANILLA_ICE_CREAM,Kem vani
TID_CHERRY_POPSICLE,Kem que anh đào
TID_CHOCOLATE_ICE_CREAM,Kem sô cô la
TID_APPLE_PIE,Bánh táo
TID_FETA_PIE,Bánh phô mai dê
TID_BRACELET,Vòng tay
TID_NECKLACE,Vòng cổ
TID_DIAMOND_RING,Nhẫn kim cương
TID_FEED_MILL,Máy chế biến thức ăn
TID_BAKERY,Lò bánh mỳ
TID_POPCORN_POT,Nồi nấu bỏng ngô
TID_DAIRY,Máy chế biến sữa
TID_SUGAR_MILL,Máy ép mía
TID_PIE_OVEN,Lò nướng bánh
TID_LOOM,Khung cửi
TID_CAKE_OVEN,Lò nướng bánh kem
TID_BARBECUE_GRILL,Lò nướng BBQ
TID_JUICE_PRESS,Máy ép nước quả
TID_JAM_MAKER,Máy làm mứt
TID_ICE_CREAM_MAKER,Máy làm kem
TID_JEWELER,Máy làm trang sức
TID_APPLE_TREE,Cây táo
TID_CHERRY_TREE,Cây anh đào
TID_CACAO_TREE,Cây ca cao
TID_RASPBERRY_BUSH,Bụi mâm xôi đỏ
TID_BLACKBERRY_BUSH,Bụi cây mâm xôi tím
TID_DYNAMITE,Thuốc nổ
TID_DEMOLITION_CHARGE,Thùng TNT
TID_AXE,Rìu
TID_SAW,Cưa
TID_SHOVEL,Xẻng
TID_PLANK,Gỗ ván
TID_NAIL,Đinh
TID_BOLT,Bu lông
TID_SCREW,Đinh ốc
TID_DUCT_TAPE,Băng dính
TID_WOOD_PANEL,Gỗ tấm
TID_EMPTY_FIELD,Mảnh ruộng
TID_CHICKEN,Gà
TID_COW,Bò
TID_SHEEP,Cừu
TID_PIG,Heo
TID_GOAT,Dê
TID_CHICKEN_HABITAT,Chuồng gà
TID_COW_HABITAT,Chuồng bò
TID_SHEEP_HABITAT,Chuồng cừu
TID_PIG_HABITAT,Chuồng heo
TID_GOAT_HABITAT,Chuồng dê
TID_HAMMERMILL_DESCRIPTION,Chế biến thức ăn chăn nuôi
TID_BAKERY_DESCRIPTION,Nướng bánh
TID_POPCORN_POT_DESCRIPTION,Rang bỏng ngô
TID_DAIRY_DESCRIPTION,Sản xuất thành phẩm từ sữa
TID_SUGAR_MILL_DESCRIPTION,Sản xuất thành phẩm từ đường
TID_PIE_OVEN_DESCRIPTION,Nướng bánh
TID_LOOM_DESCRIPTION,Dệt quần áo
TID_BARBECUE_GRILL_DESCRIPTION,Nghiền thức ăn
TID_CAKE_OVEN_DESCRIPTION,Nướng bánh kem
TID_JUICE_PRESS_DESCRIPTION,Ép nước quả
TID_JAM_MAKER_DESCRIPTION,Làm mứt
TID_ICE_CREAM_MAKER_DESCRIPTION,Làm kem
TID_JEWELER_DESCRIPTION,Chế tác đồ trang sức
TID_APPLE_TREE_DESCRIPTION,Thu hoạch 3 lần
TID_CHERRY_TREE_DESCRIPTION,Thu hoạch 3 lần
TID_CACAO_TREE_DESCRIPTION,Thu hoạch 3 lần
TID_RASPBERRY_BUSH_DESCRIPTION,Thu hoạch 3 lần
TID_BLACKBERRY_BUSH_DESCRIPTION,Thu hoạch 3 lần
TID_NEED_MORE_POPUP_TITLE,Không đủ tài nguyên!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Kiếm các tài nguyên còn thiếu để hoàn tất đơn hàng.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Thu thập tài nguyên còn thiếu và thực hiện thao tác bằng cách dùng Kim cương.
TID_NEED_MORE_CROPS_HINT,Bạn có thể mua các loại cây trồng còn thiếu từ bạn bè.\n\nHoặc mua ngay bằng Kim cương!
TID_NEED_MORE_CROPS_HINT_MOBILE,Bạn có thể mua các loại cây trồng còn thiếu từ bạn bè.\n\nHoặc mua ngay bằng Kim cương!
TID_NEED_MORE_ANIMAL_FOOD_HINT,"Sản xuất thêm thức ăn cho vật nuôi của bạn bằng Máy chế biến thức ăn, hoặc cho chúng ăn ngay bằng cách dùng Kim cương."
TID_SILO_FULL_TITLE,Tháp nông sản đã đầy
TID_SILO_FULL_DESCRIPTION,Tháp nông sản đã đầy! Hãy tăng thêm sức chứa bằng cách nâng cấp tháp nông sản của bạn.
TID_WAREHOUSE_FULL_TITLE,Kho vật phẩm đã đầy
TID_WAREHOUSE_FULL_DESCRIPTION,Kho vật phẩm đã đầy! Hãy tăng thêm sức chứa bằng cách nâng cấp kho vật phẩm của bạn.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,Kho vật phẩm đã đầy! Hãy tăng thêm sức chứa bằng cách nâng cấp kho vật phẩm của bạn.
TID_LEVEL_UP_TITLE,XIN CHÚC MỪNG!
TID_LEVEL_UP_TEXT,Giờ bạn đã là NÔNG DÂN CẤP <LEVEL_NUMBER>!
TID_LEVEL_UP_ITEM_NEW,Mới!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Mới! +<REWARD>
TID_ORDER_TABLE_TITLE,Đơn hàng
