TID,TH
string,string
TID_LANGUAGE_TITLE,เลือกภาษา
TID_SHOP_UNLOCK_TEXT,ปลดล็อคเมื่อถึงเลเวล <LEVELX>
TID_ANIMAL_SHOP_DESCRIPTION,ผลิต<ITEM>ภายใน <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,ใส่ไก่ได้ <CAPACITY> ตัว
TID_COW_HABITAT_SHOP_DESCRIPTION,ใส่วัวได้ <CAPACITY> ตัว
TID_PIG_HABITAT_SHOP_DESCRIPTION,ใส่หมูได้ <CAPACITY> ตัว
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,ใส่แกะได้ <CAPACITY> ตัว
TID_GOAT_HABITAT_SHOP_DESCRIPTION,ใส่แพะได้ <CAPACITY> ตัว
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,พืชผลเติบโตในแปลง
TID_EMPTY_FIELD_SHOP_DESCRIPTION,ใช้แปลงเพื่อปลูกพืชผล
TID_TIME_D_H,<D> วัน <H> ชม.
TID_TIME_H_M,<H> ชม. <M> นาที
TID_TIME_H,<H> ชม.
TID_TIME_M_S,<M> น. <S> วิ.
TID_TIME_M,<M> นาที
TID_TIME_S,<S> วินาที
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,ความจุยุ้งฉาง: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,ความจุโรงนา: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,ว่าง
TID_PRODUCTION_LIST_WAITING,อยู่ระหว่างการรอ...
TID_ANIMAL_HUNGRY,หิวแล้ว
TID_ANIMAL_READY_TO_HARVEST,พร้อมเก็บแล้ว
TID_WHEAT,ข้าวสาลี
TID_CARROT,แครอท
TID_CORN,ข้าวโพด
TID_SOY_BEAN,ถั่วเหลือง
TID_SUGAR_CANE,อ้อย
TID_PUMPKIN,ฟักทอง
TID_CHILI,พริก
TID_INDIGO,คราม
TID_TOMATO,มะเขือเทศ
TID_CHICKEN_FOOD,อาหารไก่
TID_COW_FOOD,อาหารวัว
TID_SHEEP_FOOD,อาหารแกะ
TID_PIG_FOOD,อาหารหมู
TID_GOAT_FOOD,อาหารแพะ
TID_EGG,ไข่
TID_MILK,นม
TID_WOOL,ขนแกะ
TID_BACON,เบคอน
TID_GOAT_MILK,นมแพะ
TID_CREAM,ครีม
TID_BUTTER,เนย
TID_CHEESE,ชีส
TID_GOAT_CHEESE,ชีสนมแพะ
TID_BREAD,ขนมปัง
TID_COOKIE,คุกกี้
TID_CORN_BREAD,ขนมปังข้าวโพด
TID_CHEESE_CAKE,ชีสเค้ก
TID_CARROT_CAKE,เค้กแครอท
TID_BIRTHDAY_CAKE,เค้กครีม
TID_CHOCOLATE_CAKE,เค้กช็อกโกแลต
TID_STRAWBERRY_CAKE,เค้กสตรอว์เบอร์รี
TID_CARROT_PIE,พายแครอท
TID_BACON_PIE,พายเบคอน
TID_PUMPKIN_PIE,พายฟักทอง
TID_BROWN_SUGAR,น้ำตาลทรายแดง
TID_WHITE_SUGAR,น้ำตาลทราย
TID_SYRUP,น้ำเชื่อม
TID_SWEATER,สเวตเตอร์
TID_BLUE_WOOLLY_HAT,หมวกขนแกะสีน้ำเงิน
TID_BLUE_SWEATER,สเวตเตอร์สีน้ำเงิน
TID_POPCORN,ป๊อปคอร์น
TID_BUTTER_POPCORN,ป๊อปคอร์นเนย
TID_CHILI_POPCORN,ป๊อปคอร์นพริก
TID_BACON_AND_EGGS,เบคอนกับไข่
TID_PANCAKE,แพนเค้ก
TID_HAMBURGER,แฮมเบอร์เกอร์
TID_PIZZA,พิซซ่า
TID_SPICY_PIZZA,พิซซ่ารสเผ็ด
TID_ROASTED_TOMATOES,มะเขือเทศเผา
TID_CARROT_JUICE,น้ำแครอท
TID_TOMATO_JUICE,น้ำมะเขือเทศ
TID_APPLE_JUICE,น้ำแอปเปิล
TID_CHERRY_JUICE,น้ำเชอร์รี
TID_BERRY_JUICE,น้ำเบอร์รี
TID_APPLE,แอปเปิล
TID_CHERRY,เชอร์รี
