TID,TR
string,string
TID_LANGUAGE_TITLE,Dil seç
TID_SHOP_UNLOCK_TEXT,<LEVELX>. seviyede açılır
TID_ANIMAL_SHOP_DESCRIPTION,<TIME> içinde <ITEM> üretir
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,<CAPACITY> Tavuk için ev
TID_COW_HABITAT_SHOP_DESCRIPTION,<CAPACITY> İnek için ev
TID_PIG_HABITAT_SHOP_DESCRIPTION,<CAPACITY> Domuz için ev
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,<CAPACITY> Koyun için ev
TID_GOAT_HABITAT_SHOP_DESCRIPTION,<CAPACITY> Keçi için ev
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Ekinler tarlada yetiştirilir.
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Tarlalar ekin yetiştirmek için kullanılır.
TID_TIME_D_H,<D> g <H> sa.
TID_TIME_H_M,<H> sa. <M> dk.
TID_TIME_H,<H> sa.
TID_TIME_M_S,<M> dk. <S> sn.
TID_TIME_M,<M> dk.
TID_TIME_S,<S> sn.
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Ambar Depolama: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Ağıl Depolama: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Boş
TID_PRODUCTION_LIST_WAITING,Bekleniyor...
TID_ANIMAL_HUNGRY,Aç
TID_ANIMAL_READY_TO_HARVEST,Toplamaya hazır
TID_WHEAT,Buğday
TID_CARROT,Havuç
TID_CORN,Mısır
TID_SOY_BEAN,Soya Fasulyesi
TID_SUGAR_CANE,Şeker Kamışı
TID_PUMPKIN,Balkabağı
TID_CHILI,Kırmızı Biber
TID_INDIGO,Çivit Otu
TID_TOMATO,Domates
TID_CHICKEN_FOOD,Tavuk Yemi
TID_COW_FOOD,İnek Yemi
TID_SHEEP_FOOD,Koyun Yemi
TID_PIG_FOOD,Domuz Yemi
TID_GOAT_FOOD,Keçi Yemi
TID_EGG,Yumurta
TID_MILK,Süt
TID_WOOL,Yün
TID_BACON,Pastırma
TID_GOAT_MILK,Keçi Sütü
TID_CREAM,Krema
TID_BUTTER,Tereyağı
TID_CHEESE,Peynir
TID_GOAT_CHEESE,Keçi Peyniri
TID_BREAD,Ekmek
TID_COOKIE,Kurabiye
TID_CORN_BREAD,Mısır Ekmeği
TID_CHEESE_CAKE,Çiz Kek
TID_CARROT_CAKE,Havuçlu Pasta
TID_BIRTHDAY_CAKE,Kremalı Pasta
TID_CHOCOLATE_CAKE,Çikolatalı Pasta
TID_STRAWBERRY_CAKE,Çilekli Pasta
TID_CARROT_PIE,Havuçlu Turta
TID_BACON_PIE,Pastırmalı Turta
TID_PUMPKIN_PIE,Balkabaklı Turta
TID_BROWN_SUGAR,Esmer Şeker
TID_WHITE_SUGAR,Beyaz Şeker
TID_SYRUP,Şerbet
