TID,ID
string,string
TID_LANGUAGE_TITLE,Pilih bahasa
TID_SHOP_UNLOCK_TEXT,Terbuka di level <LEVELX>
TID_ANIMAL_SHOP_DESCRIPTION,Membuat <ITEM> dalam <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Menampung <CAPACITY> Ayam
TID_COW_HABITAT_SHOP_DESCRIPTION,Menampung <CAPACITY> Sapi
TID_PIG_HABITAT_SHOP_DESCRIPTION,Menampung <CAPACITY> Babi
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Menampung <CAPACITY> Domba
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Menampung <CAPACITY> Kambing
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Tanaman tumbuh di ladang
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Ladang digunakan untuk menanam tanaman
TID_TIME_D_H,<D> h <H> j
TID_TIME_H_M,<H> j <M> mnt
TID_TIME_H,<H> j
TID_TIME_M_S,<M> mnt <S> dtk
TID_TIME_M,<M> mnt
TID_TIME_S,<S> dtk
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Penyimpanan Silo: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Penyimpanan Lumbung: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Kosong
TID_PRODUCTION_LIST_WAITING,Menunggu...
TID_ANIMAL_HUNGRY,Lapar
TID_ANIMAL_READY_TO_HARVEST,Siap diambil
TID_WHEAT,Gandum
TID_CARROT,Wortel
TID_CORN,Jagung
TID_SOY_BEAN,Kedelai
TID_SUGAR_CANE,Tebu
TID_PUMPKIN,Labu
TID_CHILI,Cabai
TID_INDIGO,Indigo
TID_TOMATO,Tomat
TID_CHICKEN_FOOD,Pakan Ayam
TID_COW_FOOD,Pakan Sapi
TID_SHEEP_FOOD,Pakan Domba
TID_PIG_FOOD,Pakan Babi
TID_GOAT_FOOD,Pakan Kambing
TID_EGG,Telur
TID_MILK,Susu
TID_WOOL,Wol
TID_BACON,Daging Babi Asap
TID_GOAT_MILK,Susu Kambing
TID_CREAM,Krim
TID_BUTTER,Mentega
TID_CHEESE,Keju
TID_GOAT_CHEESE,Keju Kambing
TID_BREAD,Roti
TID_COOKIE,Kue kukis
TID_CORN_BREAD,Roti Jagung
TID_CHEESE_CAKE,Kue Cheesecake
TID_CARROT_CAKE,Kue Wortel
TID_BIRTHDAY_CAKE,Kue Tar
TID_CHOCOLATE_CAKE,Kue Cokelat
TID_STRAWBERRY_CAKE,Kue Stroberi
TID_CARROT_PIE,Pai Wortel
TID_BACON_PIE,Pai Daging Babi Asap
TID_PUMPKIN_PIE,Pai Labu
TID_BROWN_SUGAR,Gula Cokelat
TID_WHITE_SUGAR,Gula Putih
TID_SYRUP,Sirup
TID_SWEATER,Sweter
TID_BLUE_WOOLLY_HAT,Kupluk Biru
TID_BLUE_SWEATER,Sweter Biru
TID_POPCORN,Berondong Jagung
TID_BUTTER_POPCORN,Berondong Mentega
TID_CHILI_POPCORN,Berondong Pedas
TID_BACON_AND_EGGS,Daging & Telur
TID_PANCAKE,Panekuk
TID_HAMBURGER,Hamburger
TID_PIZZA,Piza
TID_SPICY_PIZZA,Piza Pedas
TID_ROASTED_TOMATOES,Tomat Panggang
TID_CARROT_JUICE,Jus Wortel
TID_TOMATO_JUICE,Jus Tomat
TID_APPLE_JUICE,Jus Apel
TID_CHERRY_JUICE,Jus Ceri
TID_BERRY_JUICE,Jus Beri
TID_APPLE,Apel
TID_CHERRY,Ceri
TID_CACAO,Kakao
TID_RASPBERRY,Rasberi
TID_BLACKBERRY,Beri Hitam
TID_APPLE_JAM,Selai Apel
TID_RASPBERRY_JAM,Selai Rasberi
TID_BLUEBERRY_JAM,Selai Beri Hitam
TID_CHERRY_JAM,Selai Ceri
TID_VANILLA_ICE_CREAM,Es Krim Vanila
TID_CHERRY_POPSICLE,Loli Ceri
TID_CHOCOLATE_ICE_CREAM,Es Krim Cokelat
TID_APPLE_PIE,Pai Apel
TID_FETA_PIE,Pai Feta
TID_BRACELET,Gelang
TID_NECKLACE,Kalung
TID_DIAMOND_RING,Cincin Berlian
TID_FEED_MILL,Pabrik Pakan
TID_BAKERY,Toko Roti
TID_POPCORN_POT,Panci Berondong
TID_DAIRY,Pengolahan Susu
TID_SUGAR_MILL,Pabrik Gula
TID_PIE_OVEN,Oven Pai
TID_LOOM,Mesin Tenun
TID_CAKE_OVEN,Oven Kue
TID_BARBECUE_GRILL,Panggangan BBQ
TID_JUICE_PRESS,Pemeras Jus
TID_JAM_MAKER,Pembuat Selai
TID_ICE_CREAM_MAKER,Mesin Es Krim
TID_JEWELER,Pembuat Perhiasan
TID_APPLE_TREE,Pohon Apel
TID_CHERRY_TREE,Pohon Ceri
TID_CACAO_TREE,Pohon Kakao
TID_RASPBERRY_BUSH,Semak Rasberi
TID_BLACKBERRY_BUSH,Semak Beri Hitam
TID_DYNAMITE,Dinamit
TID_DEMOLITION_CHARGE,Tong TNT
TID_AXE,Kapak
TID_SAW,Gergaji
TID_SHOVEL,Sekop
TID_PLANK,Papan
TID_NAIL,Paku
TID_BOLT,Baut
TID_SCREW,Sekrup
TID_DUCT_TAPE,Lakban
TID_WOOD_PANEL,Bilah Kayu
TID_EMPTY_FIELD,Ladang
TID_CHICKEN,Ayam
TID_COW,Sapi
TID_SHEEP,Domba
TID_PIG,Babi
TID_GOAT,Kambing
TID_CHICKEN_HABITAT,Kandang Ayam
TID_COW_HABITAT,Padang Sapi
TID_SHEEP_HABITAT,Padang Domba
TID_PIG_HABITAT,Kandang Babi
TID_GOAT_HABITAT,Padang Kambing
TID_HAMMERMILL_DESCRIPTION,Membuat Pakan Hewan
TID_BAKERY_DESCRIPTION,Membuat Roti
TID_POPCORN_POT_DESCRIPTION,Membuat Berondong Jagung
TID_DAIRY_DESCRIPTION,Membuat Produk Olahan Susu
TID_SUGAR_MILL_DESCRIPTION,Membuat Produk Gula
TID_PIE_OVEN_DESCRIPTION,Memanggang Pai
TID_LOOM_DESCRIPTION,Menenun Pakaian
TID_BARBECUE_GRILL_DESCRIPTION,Memanggang Makanan
TID_CAKE_OVEN_DESCRIPTION,Memanggang Kue
TID_JUICE_PRESS_DESCRIPTION,Memeras Jus
TID_JAM_MAKER_DESCRIPTION,Membuat Selai
TID_ICE_CREAM_MAKER_DESCRIPTION,Membuat Es Krim
TID_JEWELER_DESCRIPTION,Membuat Perhiasan
TID_APPLE_TREE_DESCRIPTION,Panen tiga kali
TID_CHERRY_TREE_DESCRIPTION,Panen tiga kali
TID_CACAO_TREE_DESCRIPTION,Panen tiga kali
TID_RASPBERRY_BUSH_DESCRIPTION,Panen tiga kali
TID_BLACKBERRY_BUSH_DESCRIPTION,Panen tiga kali
TID_NEED_MORE_POPUP_TITLE,Ada yang kurang!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Dapatkan sumber daya yang kurang untuk menyelesaikan pesanan.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Dapatkan sumber daya yang kurang dan lakukan aksi menggunakan berlian.
TID_NEED_MORE_CROPS_HINT,Kamu bisa membeli hasil panen yang belum dimiliki dari teman.\n\nAtau membelinya dengan berlian!
TID_NEED_MORE_CROPS_HINT_MOBILE,Kamu bisa membeli hasil panen yang belum dimiliki dari teman.\n\nAtau membelinya dengan berlian!
TID_NEED_MORE_ANIMAL_FOOD_HINT,Buat lebih banyak pakan untuk hewan di pabrik pakan. Atau beri makan sekarang menggunakan berlian.
TID_SILO_FULL_TITLE,Silo Penuh
TID_SILO_FULL_DESCRIPTION,Silo sudah penuh! Dapatkan lebih banyak ruang dengan meningkatkan silomu.
TID_WAREHOUSE_FULL_TITLE,Lumbung Penuh
TID_WAREHOUSE_FULL_DESCRIPTION,Lumbung sudah penuh! Dapatkan lebih banyak ruang dengan meningkatkan lumbungmu.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,Lumbung sudah penuh! Dapatkan lebih banyak ruang dengan meningkatkan lumbungmu.
TID_LEVEL_UP_TITLE,SELAMAT!
TID_LEVEL_UP_TEXT,Sekarang kamu jadi PETANI LEVEL <LEVEL_NUMBER>!
TID_LEVEL_UP_ITEM_NEW,Baru!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Baru! +<REWARD>
TID_ORDER_TABLE_TITLE,Pesanan
TID_ORDER_TITLE_00,TK
TID_ORDER_TITLE_01,Sekolah
TID_ORDER_TITLE_02,Gereja
TID_ORDER_TITLE_03,Salon Joan
TID_ORDER_TITLE_04,Toko Susan
TID_ORDER_TITLE_05,Pabrik Mike
TID_ORDER_TITLE_06,Penyulingan Bir Ben
TID_ORDER_TITLE_07,Perikanan Fabio
TID_ORDER_TITLE_08,Pabrik Frank
