TID,AR
string,string
TID_LANGUAGE_TITLE,اختيار اللغة
TID_SHOP_UNLOCK_TEXT,سيصبح متاحًا في المستوى <LEVELX>
TID_ANIMAL_SHOP_DESCRIPTION,ينتج <ITEM> خلال <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,منزل <CAPACITY> من الدجاج
TID_COW_HABITAT_SHOP_DESCRIPTION,منزل <CAPACITY> من الأبقار
TID_PIG_HABITAT_SHOP_DESCRIPTION,منزل <CAPACITY> من الخنازير
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,منزل <CAPACITY> من الخراف
TID_GOAT_HABITAT_SHOP_DESCRIPTION,منزل <CAPACITY> من الماعز
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,تنمو المحاصيل في الحقول
TID_EMPTY_FIELD_SHOP_DESCRIPTION,تُستخدم الحقول لزراعة المحاصيل
TID_TIME_D_H,<D> ي <H> س
TID_TIME_H_M,<H> س <M> د
TID_TIME_H,<H> س
TID_TIME_M_S,<M> د <S> ث
TID_TIME_M,<M> د
TID_TIME_S,<S> ث
TID_COUNT_OF_MAX,<MAX>/<COUNT>
TID_SILO_STORAGE,سعة الصومعة: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,سعة الحظيرة: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,فارغة
TID_PRODUCTION_LIST_WAITING,قيد الانتظار...
TID_ANIMAL_HUNGRY,جائعة
TID_ANIMAL_READY_TO_HARVEST,على استعداد للجمع
TID_WHEAT,القمح
TID_CARROT,الجزر
TID_CORN,الذرة
TID_SOY_BEAN,فول الصويا
TID_SUGAR_CANE,قصب السكر
TID_PUMPKIN,القرع
TID_CHILI,الفلفل الحار
TID_INDIGO,النبات النيلي
TID_TOMATO,الطماطم
TID_CHICKEN_FOOD,علف الدجاج
TID_COW_FOOD,علف الأبقار
TID_SHEEP_FOOD,علف الخراف
TID_PIG_FOOD,علف الخنازير
TID_GOAT_FOOD,علف الماعز
TID_EGG,البيض
TID_MILK,الحليب
TID_WOOL,الصوف
TID_BACON,اللحم المقدد
TID_GOAT_MILK,حليب الماعز
TID_CREAM,القشدة
TID_BUTTER,الزبدة
TID_CHEESE,الجبن
TID_GOAT_CHEESE,جبن الماعز
TID_BREAD,الخبز
TID_COOKIE,كعكة صغيرة
TID_CORN_BREAD,خبز الذرة
TID_CHEESE_CAKE,كعكة الجبن
TID_CARROT_CAKE,كعكة الجزر
TID_BIRTHDAY_CAKE,كعكة القشدة
TID_CHOCOLATE_CAKE,كعكة الشوكولاتة
TID_STRAWBERRY_CAKE,كعكة الفراولة
TID_CARROT_PIE,فطيرة الجزر
TID_BACON_PIE,فطيرة اللحم المقدد
TID_PUMPKIN_PIE,فطيرة القرع
TID_BROWN_SUGAR,السكر البني
TID_WHITE_SUGAR,السكر الأبيض
TID_SYRUP,شراب
TID_SWEATER,سترة
TID_BLUE_WOOLLY_HAT,قبعة صوف زرقاء
TID_BLUE_SWEATER,سترة زرقاء
TID_POPCORN,فشار
TID_BUTTER_POPCORN,فشار بالزبدة
TID_CHILI_POPCORN,فشار حار
TID_BACON_AND_EGGS,لحم مقدد وبيض
TID_PANCAKE,فطيرة مقلية
TID_HAMBURGER,هامبورجر
TID_PIZZA,بيتزا
TID_SPICY_PIZZA,بيتزا متبلة
TID_ROASTED_TOMATOES,طماطم مشوية
TID_CARROT_JUICE,عصير جزر
TID_TOMATO_JUICE,عصير طماطم
TID_APPLE_JUICE,عصير تفاح
TID_CHERRY_JUICE,عصير كرز
TID_BERRY_JUICE,عصير التوت
TID_APPLE,تفاح
TID_CHERRY,كرز
TID_CACAO,كاكاو
TID_RASPBERRY,توت
TID_BLACKBERRY,توت العليق
TID_APPLE_JAM,مربى التفاح
TID_RASPBERRY_JAM,مربى التوت
TID_BLUEBERRY_JAM,مربى توت العليق
TID_CHERRY_JAM,مربى الكرز
TID_VANILLA_ICE_CREAM,مثلجات الفانيليا
TID_CHERRY_POPSICLE,مصاصة الكرز
TID_CHOCOLATE_ICE_CREAM,مثلجات الشوكولاتة
TID_APPLE_PIE,فطيرة تفاح
TID_FETA_PIE,فطيرة جبن فيتا
TID_BRACELET,سوار
TID_NECKLACE,قلادة
TID_DIAMOND_RING,خاتم ماسي
TID_FEED_MILL,طاحونة علف
TID_BAKERY,مخبز
TID_POPCORN_POT,آلة فشار
TID_DAIRY,معمل ألبان
TID_SUGAR_MILL,طاحونة سكر
TID_PIE_OVEN,فرن فطائر
TID_LOOM,منسج
TID_CAKE_OVEN,فرن كعك
TID_BARBECUE_GRILL,شواية لحم
TID_JUICE_PRESS,عصّارة
TID_JAM_MAKER,آلة صناعة المربى
TID_ICE_CREAM_MAKER,آلة صناعة المثلجات
TID_JEWELER,صائغ
TID_APPLE_TREE,شجرة تفاح
TID_CHERRY_TREE,شجرة كرز
TID_CACAO_TREE,شجرة كاكاو
TID_RASPBERRY_BUSH,شجيرات التوت
TID_BLACKBERRY_BUSH,شجيرات العليق
TID_DYNAMITE,ديناميت
TID_DEMOLITION_CHARGE,برميل متفجرات
TID_AXE,بلطة
TID_SAW,منشار
TID_SHOVEL,مجرفة
TID_PLANK,لوح خشبي
TID_NAIL,مسمار
TID_BOLT,مسمار تثبيت
TID_SCREW,برغي
TID_DUCT_TAPE,شريط لاصق
TID_WOOD_PANEL,رف خشبي
TID_EMPTY_FIELD,حقل
TID_CHICKEN,دجاجة
TID_COW,بقرة
TID_SHEEP,خروف
TID_PIG,خنزير
TID_GOAT,ماعز
TID_CHICKEN_HABITAT,قن الدجاج
TID_COW_HABITAT,مرعى الأبقار
TID_SHEEP_HABITAT,مرعى الخراف
TID_PIG_HABITAT,حظيرة الخنازير
TID_GOAT_HABITAT,حظيرة الماعز
TID_HAMMERMILL_DESCRIPTION,تنتج أعلاف الحيوانات
TID_BAKERY_DESCRIPTION,يخبز المنتجات
TID_POPCORN_POT_DESCRIPTION,تنتج الفشار
TID_DAIRY_DESCRIPTION,ينتج منتجات الألبان
TID_SUGAR_MILL_DESCRIPTION,تنتج منتجات السكر
TID_PIE_OVEN_DESCRIPTION,يخبز الفطائر
TID_LOOM_DESCRIPTION,ينسج الملابس
