TID,NL
string,string
TID_LANGUAGE_TITLE,Kies een taal
TID_SHOP_UNLOCK_TEXT,Ontgrendelt op level <LEVELX>
TID_ANIMAL_SHOP_DESCRIPTION,Produceert <ITEM>\nin <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Ruimte voor <CAPACITY> kippen
TID_COW_HABITAT_SHOP_DESCRIPTION,Ruimte voor <CAPACITY> koeien
TID_PIG_HABITAT_SHOP_DESCRIPTION,Ruimte voor <CAPACITY> varkens
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Ruimte voor <CAPACITY> schapen
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Ruimte voor <CAPACITY> geiten
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Op velden kun je gewassen kweken
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Velden worden gebruikt om gewassen te kweken
TID_TIME_D_H,<D> d <H> u
TID_TIME_H_M,<H> u <M> min
TID_TIME_H,<H> u
TID_TIME_M_S,<M> min <S> sec
TID_TIME_M,<M> min
TID_TIME_S,<S> sec
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Siloruimte: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Schuurruimte:<COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Leeg
TID_PRODUCTION_LIST_WAITING,Wachten...
TID_ANIMAL_HUNGRY,Hongerig
TID_ANIMAL_READY_TO_HARVEST,Klaar om te verzamelen
TID_WHEAT,Tarwe
TID_CARROT,Wortel
TID_CORN,Maïs
TID_SOY_BEAN,Sojaboon
TID_SUGAR_CANE,Suikerriet
TID_PUMPKIN,Pompoen
TID_CHILI,Chilipeper
TID_INDIGO,Indigo
TID_TOMATO,Tomaat
TID_CHICKEN_FOOD,Kippenvoer
TID_COW_FOOD,Koeienvoer
TID_SHEEP_FOOD,Schapenvoer
TID_PIG_FOOD,Varkensvoer
TID_GOAT_FOOD,Geitenvoer
TID_EGG,Ei
TID_MILK,Melk
TID_WOOL,Wol
TID_BACON,Spek
TID_GOAT_MILK,Geitenmelk
TID_CREAM,Room
TID_BUTTER,Boter
TID_CHEESE,Kaas
TID_GOAT_CHEESE,Geitenkaas
TID_BREAD,Brood
TID_COOKIE,Koekje
TID_CORN_BREAD,Maïsbrood
TID_CHEESE_CAKE,Kwarktaart
TID_CARROT_CAKE,Worteltaart
TID_BIRTHDAY_CAKE,Roomtaart
TID_CHOCOLATE_CAKE,Chocoladecake
TID_STRAWBERRY_CAKE,Aardbeientaart
TID_CARROT_PIE,Wortelquiche
TID_BACON_PIE,Spekquiche
TID_PUMPKIN_PIE,Pompoentaart
TID_BROWN_SUGAR,Bruine suiker
TID_WHITE_SUGAR,Witte suiker
TID_SYRUP,Siroop
TID_SWEATER,Trui
TID_BLUE_WOOLLY_HAT,Blauwe muts
TID_BLUE_SWEATER,Blauwe trui
TID_POPCORN,Popcorn
TID_BUTTER_POPCORN,Boterpopcorn
TID_CHILI_POPCORN,Chilipopcorn
TID_BACON_AND_EGGS,Eieren met spek
TID_PANCAKE,Pannenkoek
TID_HAMBURGER,Hamburger
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Pittige pizza
TID_ROASTED_TOMATOES,Geroosterde tomaten
TID_CARROT_JUICE,Wortelsap
TID_TOMATO_JUICE,Tomatensap
TID_APPLE_JUICE,Appelsap
TID_CHERRY_JUICE,Kersensap
TID_BERRY_JUICE,Bessensap
TID_APPLE,Appels
TID_CHERRY,Kersen
TID_CACAO,Cacao
TID_RASPBERRY,Frambozen
TID_BLACKBERRY,Braambessen
TID_APPLE_JAM,Appeljam
TID_RASPBERRY_JAM,Frambozenjam
TID_BLUEBERRY_JAM,Bramenjam
TID_CHERRY_JAM,Kersenjam
TID_VANILLA_ICE_CREAM,Vanille-ijs
TID_CHERRY_POPSICLE,Kersenijsje
TID_CHOCOLATE_ICE_CREAM,Chocolade-ijs
TID_APPLE_PIE,Appeltaart
TID_FETA_PIE,Fetataart
TID_BRACELET,Armband
TID_NECKLACE,Halsketting
TID_DIAMOND_RING,Diamanten ring
TID_FEED_MILL,Voedermolen
TID_BAKERY,Bakkerij
TID_POPCORN_POT,Popcornpan
TID_DAIRY,Zuivelfabriek
TID_SUGAR_MILL,Suikerfabriek
TID_PIE_OVEN,Quicheoven
TID_LOOM,Weefgetouw
TID_CAKE_OVEN,Taartoven
TID_BARBECUE_GRILL,Barbecue
TID_JUICE_PRESS,Fruitpers
TID_JAM_MAKER,Jammaker
TID_ICE_CREAM_MAKER,IJsmaker
TID_JEWELER,Juwelier
TID_APPLE_TREE,Appelboom
TID_CHERRY_TREE,Kersenboom
TID_CACAO_TREE,Cacaoboom
TID_RASPBERRY_BUSH,Frambozenstruik
TID_BLACKBERRY_BUSH,Bramenstruik
TID_DYNAMITE,Dynamiet
TID_DEMOLITION_CHARGE,TNT-ton
TID_AXE,Bijl
TID_SAW,Zaag
TID_SHOVEL,Schep
TID_PLANK,Plank
TID_NAIL,Spijker
TID_BOLT,Bout
TID_SCREW,Schroef
TID_DUCT_TAPE,Tape
TID_WOOD_PANEL,Houten paneel
TID_EMPTY_FIELD,Veld
TID_CHICKEN,Kip
TID_COW,Koe
TID_SHEEP,Schaap
TID_PIG,Varken
TID_GOAT,Geit
TID_CHICKEN_HABITAT,Kippenhok
TID_COW_HABITAT,Koeienweide
TID_SHEEP_HABITAT,Schapenweide
TID_PIG_HABITAT,Varkensweide
TID_GOAT_HABITAT,Geitenweide
TID_HAMMERMILL_DESCRIPTION,Produceert veevoer
TID_BAKERY_DESCRIPTION,Produceert broodwaren
TID_POPCORN_POT_DESCRIPTION,Produceert popcorn
TID_DAIRY_DESCRIPTION,Produceert zuivel
TID_SUGAR_MILL_DESCRIPTION,Produceert suikerwaren
TID_PIE_OVEN_DESCRIPTION,Produceert quiches
TID_LOOM_DESCRIPTION,Weeft kleding
TID_BARBECUE_GRILL_DESCRIPTION,Grilt eten
TID_CAKE_OVEN_DESCRIPTION,Produceert taarten
TID_JUICE_PRESS_DESCRIPTION,Produceert vruchtensap
TID_JAM_MAKER_DESCRIPTION,Produceert jam
TID_ICE_CREAM_MAKER_DESCRIPTION,Produceert ijs
TID_JEWELER_DESCRIPTION,Produceert juwelen
TID_APPLE_TREE_DESCRIPTION,Kan drie keer leeggeplukt worden
TID_CHERRY_TREE_DESCRIPTION,Kan drie keer leeggeplukt worden
TID_CACAO_TREE_DESCRIPTION,Kan drie keer leeggeplukt worden
TID_RASPBERRY_BUSH_DESCRIPTION,Kan drie keer leeggeplukt worden
TID_BLACKBERRY_BUSH_DESCRIPTION,Kan drie keer leeggeplukt worden
TID_NEED_MORE_POPUP_TITLE,Te weinig grondstoffen!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Verkrijg de ontbrekende grondstoffen om de bestelling te voltooien.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Geef diamanten uit om de ontbrekende grondstoffen te verkrijgen en de actie te voltooien.
TID_NEED_MORE_CROPS_HINT,Je kunt de ontbrekende gewassen van een vriend kopen.\n\nOf koop ze nu met diamanten!
TID_NEED_MORE_CROPS_HINT_MOBILE,Je kunt de ontbrekende gewassen van een vriend kopen.\n\nOf koop ze nu met diamanten!
TID_NEED_MORE_ANIMAL_FOOD_HINT,Maak meer voer voor je dieren met de voedermolen. Of voer ze nu met behulp van diamanten.
TID_SILO_FULL_TITLE,Silo is vol
TID_SILO_FULL_DESCRIPTION,De silo is vol! Maak meer ruimte door je silo te vergroten.
TID_WAREHOUSE_FULL_TITLE,Schuur is vol
TID_WAREHOUSE_FULL_DESCRIPTION,De schuur is vol! Maak meer ruimte door je schuur te vergroten.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,De schuur is vol! Maak meer ruimte door je schuur te vergroten.
TID_LEVEL_UP_TITLE,GEFELICITEERD!
TID_LEVEL_UP_TEXT,Je bent nu een BOER van LEVEL <LEVEL_NUMBER>!
TID_LEVEL_UP_ITEM_NEW,Nieuw!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Nieuw! +<REWARD>
TID_ORDER_TABLE_TITLE,Bestellingen
TID_ORDER_TITLE_00,Kleuterschool
TID_ORDER_TITLE_01,School
TID_ORDER_TITLE_02,Kerk
TID_ORDER_TITLE_03,Joans salon
TID_ORDER_TITLE_04,Susans winkel
TID_ORDER_TITLE_05,Mikes molen
TID_ORDER_TITLE_06,Bens brouwerij
TID_ORDER_TITLE_07,Fabio's visserij
TID_ORDER_TITLE_08,Franks fabriek
TID_ORDER_TITLE_09,Grants kerkhof
TID_ORDER_TABLE_WAITING,Een ogenblik geduld...
TID_ORDER_TABLE_WAITING_TEXT,Deze bestelling is niet beschikbaar. Wacht of versnel!
TID_SOCIAL_LOGIN_TITLE,Vind meer boeren
TID_SOCIAL_LOGIN_1_TEXT,Meld je aan op <SOCIAL_1> en verhandel goederen met je vrienden!
TID_SOCIAL_LOGIN_2_TEXT,Meld je aan op <SOCIAL_1> of <SOCIAL_2> en verhandel goederen met je vrienden!
TID_ROADSIDE_SHOP_TITLE,Boerderijkraam
TID_ROADSIDE_SHOP_FRIEND_TITLE,Kraam van <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,VERKOCHT!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Nieuw item verkopen
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Nieuwe aanbieding
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Prijs aanpassen
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,In de aanbieding gooien
TID_ROADSIDE_SHOP_ADVERTISE,Adverteren
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Adverteer nu
TID_SHOP_TITLE,Winkel
TID_TUTORIAL_01,Hallo daar! Ik ben meneer Wicker en ik help je een handje met je nieuwe boerderij!
TID_TUTORIAL_02a,Tik op een tarweveld en pak de sikkel op. Oogst door de sikkel over de tarwe te slepen.
TID_TUTORIAL_03a,Tik op een leeg veld. Sleep de tarwe over de velden om zaad te planten.
TID_TUTORIAL_04,"Zaadjes hebben tijd nodig om te groeien. Als ze worden geoogst, levert elk veld twee gewassen op."
TID_TUTORIAL_05a,Tik op je huis en verf het door de kwast erover te bewegen.
TID_TUTORIAL_06a,Mooi! De schuur kan ook wel een kleurtje gebruiken...
TID_TUTORIAL_07a,Geef de silo ook een mooie kleur!
TID_TUTORIAL_10,Geweldig! Nodig nu wat gevederde vriendjes uit!
TID_TUTORIAL_10a,Sleep een kip uit de winkel naar de kippenren.
TID_TUTORIAL_11a,Koop nog een kip!
TID_TUTORIAL_12a,Wat dacht je van een derde kip?
TID_TUTORIAL_13a,Tik op een kip en sleep de voederzak over de kippen om ze te voeren.
TID_TUTORIAL_14a,Tik op een kip en tik dan op de versnelknop!
TID_TUTORIAL_14b,Tik op een kip en tik dan twee keer op de versnelknop!
TID_TUTORIAL_14c,Tik op een kip en houd de versnellingsknop vast!
TID_TUTORIAL_15a,Uitstekend! Versnel nu ook de tweede kip.
TID_TUTORIAL_16a,Uitstekend! Versnel nu de laatste kip.
TID_TUTORIAL_17a,Sleep de mand over alle kippen om de eieren te verzamelen.
TID_TUTORIAL_20,Mooi! Zullen we met al deze tarwe brood bakken in de nieuwe bakkerij?
TID_TUTORIAL_20a,Open het winkelmenu door op de knop linksonder te tikken. Koop een bakkerij door deze naar je erf te slepen.
TID_TUTORIAL_20a_MOBILE,Open het winkelmenu door op de knop linksonder te tikken. Koop een bakkerij door deze naar je erf te slepen.
TID_TUTORIAL_21a,Wacht tot de bouw is voltooid of versnel de bouw met diamanten.
TID_TUTORIAL_22a,Tik op de bakkerij en sleep het brood naar de oven.
TID_TUTORIAL_23a,Voltooi het bakken door op de versnelknop onder het brood te tikken. Het ruikt heerlijk!
TID_TUTORIAL_24,"Als je een level stijgt, ontgrendel je nieuwe verbeteringen. Op dit moment zijn er drie nieuwe velden beschikbaar in de winkel!"
TID_TUTORIAL_24a,Open het winkelmenu en sleep de drie nieuwe velden naar je erf.
TID_TUTORIAL_25a,Plant nog meer zaadjes. Weet je nog hoe? (Tik op het veld!)
TID_TUTORIAL_26,Blije dieren zorgen voor een vrolijke boerderij. Zorg dat je dieren nooit honger lijden door een voedermolen te plaatsen!
TID_TUTORIAL_26a,Koop een nieuwe voedermolen door deze van de winkel naar je erf te slepen.
TID_TUTORIAL_27,"De zaken gaan goed! Blijf oogsten, brood bakken en eieren produceren."
TID_TUTORIAL_27a,Vergeet niet dat je de gewassen sneller kunt laten groeien door op de versnelknop te tikken.
TID_TUTORIAL_28,"Toet, toet, de truck is hier! Bereid je voor op een stroom aan bestellingen!"
TID_TUTORIAL_29,Het bestelbord geeft aan welke bestellingen er beschikbaar zijn. Verdien geld en ervaringspunten door ze af te leveren.
TID_TUTORIAL_29a,Tik op de truck of het bestelbord om je eerste bestelling uit te voeren.
TID_TUTORIAL_30,Daar gaat-ie! De truck is nu onderweg naar de kleuterschool.
TID_TUTORIAL_30a,Die stadsmensen krijgen maar niet genoeg van onze boerderijproducten! Voer nog een bestelling uit.
TID_TUTORIAL_31,Je krijgt het al aardig onder de knie! Blijf produceren en bestellingen voltooien.
TID_TUTORIAL_31a,Blijf produceren en bestellingen uitvoeren!
TID_TUTORIAL_36,Boooe! Het is al een tijdje geleden dat we hier een koe hebben gehad!
TID_TUTORIAL_36a,Koop een koeienweide door deze uit de winkel te slepen.
TID_TUTORIAL_37a,Sleep nu een koe naar de weide.
TID_TUTORIAL_38a,"Ze heeft honger, geef haar iets te eten!"
TID_TUTORIAL_39,Een goed gevoede koe produceert voedzame melk.
TID_TUTORIAL_40,"Wanneer je voldoende geld hebt verdiend, kun je een zuivelfabriek in de winkel kopen. In de zuivelfabriek kun je van melk room, boter en zelfs kaas maken!"
TID_TUTORIAL_42,Hey daar! Ik ben Mike en ik run de oude molen naast de stad. Wat een mooie boerderij heb je hier! Wat dacht je ervan om je boerderij een leuke naam te geven? Onthoud dat het beter is om niet je eigen naam te gebruiken.
TID_TUTORIAL_45,Leuk om te zien dat iemand hier de boel onderhoudt. We zien elkaar vast nog wel eens!
TID_TUTORIAL_46,"Komt die heerlijke geur hier vandaan? Jeetje, waar zijn mijn manieren! Mijn naam is Joan."
TID_TUTORIAL_GUEST1,We hebben een bezoeker! Tik op hem om te horen wat hij te zeggen heeft!
TID_TUTORIAL_GUEST2,Nog een bezoeker! Ik kan maar beter even vragen wat ze wil.
TID_TUTORIAL_47a,Tik op het doek om het te verwijderen.
TID_TUTORIAL_48a,Wacht tot de truck terugkomt met je beloning en tik erop om de beloning op te halen!
TID_TUTORIAL_47,Kijk! De kinderen van de kleuterschool hebben een tekening gemaakt om je te bedanken!
TID_TUTORIAL_GUEST3,Wie is deze grote vent?
TID_TUTORIAL_48,"Hallo! Ik ben Greg, je buurman. Als je gereedschap nodig hebt, klop dan bij mij aan!"
TID_TUTORIAL_49,We kunnen gereedschap gebruiken om wat land vrij te maken. Ga naar Gregs boerderij!
TID_TUTORIAL_GUEST4,Open de vriendenbalk!
TID_TUTORIAL_50,Welkom op mijn boerderij! Vergeet niet om een kijkje te nemen bij mijn boerderijkraam!
TID_TUTORIAL_51,Leuk dat je er was! Vergeet niet dat je mij of je vrienden altijd nog een keer kunt bezoeken!
TID_TUTORIAL_52,"Wauw, Greg was heel behulpzaam. Je kunt meer vrienden als buren toevoegen via de vriendenbalk."
TID_TUTORIAL_53,Dit is je boerderijkraam. Hier kun je producten aanbieden om aan andere spelers te verkopen.
TID_TUTORIAL_54,Jij beslist hoeveel je van een product wilt verkopen en voor welke prijs. Je kunt zelfs een advertentie plaatsen! Probeer het maar!
TID_TUTORIAL_54a,Bekijk je boerderijkraam!
TID_TUTORIAL_55,De krant vind je in je brievenbus. Hierin staat wat andere mensen te koop aanbieden.
